company,position_title,reference_number,event,event_date,note
Abano Healthcare Group,Data Analyst,NA,submitted application,2024-05-04,
Accelagen,Senior statistical programmer,NA,phone inquiry,2024-09-24,Phone call from i Pharm consulting Dana Sarkissian. This position is the same one as the role I applied for in January 2024
Accelagen,Senior statistical programmer,NA,send resume,2024-09-24,
Accelagen,Senior statistical programmer,NA,interview invitation,2024-09-27,Phone call from i Pharm consulting Dana Sarkissian. Interview scheduled to 10AM 01-Oct. The company asked if you have experience with ADaM and TLF creation.
Accelagen,Senior statistical programmer,NA,interview online,2024-10-01,"On Teams with rebecca.asher@accelagen.com.au and tiaan.vanderspuy@accelagen.com.au
"
Accelagen,Senior statistical programmer,NA,phone inquiry,2024-10-01,Dana Sarkissian first call missed. Second call in 4 hours will you be interested in having another round of interview with HR?
Accelagen,Senior statistical programmer,NA,rejected application,2024-10-03,Dana Sarkissian called. No feedback from Accelagen but it is probably linked to the lacking experience with ADaM or other areas
Accelagen,Senior statistical programmer,NA,request feedback,2024-10-08,
Accelagen,Senior statistical programmer,NA,feedback provided,2024-10-09,"Hello Chang, Thank you for taking the time to interview with us. I was hoping you would reach out for feedback because you interviewed well and it was a positive experience. During the interview, you demonstrated great communication skills, an understanding of the requirements of a statistical programmer and a willingness to learn. Although I was impressed with your interview, the senior statistical programmer role requires more experience. To help with a future role at this level, I would encourage you to continue developing your CDISC knowledge, particularly with ADaM datasets, define.XMLs and Reviewer Guides. I wish you all the luck in the future! Thanks, Rebecca Rebecca Asher​​​​ Head of Biostatistics"
Accelagen,Senior statistical programmer,NA,follow-up by phone call,2025-01-09,Keekey Munday called. Dana is on anual leave. Accelagen may want to talk to you. Are you free next week?
Accelagen,Senior statistical programmer,NA,follow-up by phone call,2025-01-20,Dana Sarkissian called. Last year they hired a more expereinced programmer. This year they want to hire a programmer with a few years of experience. Reponded to her that I have verbally accepted the offer from Thermo Fisher
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,submitted application,2024-05-28,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,interview invitation,2024-05-30,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,phone screen interview,2024-06-14,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,interview invitation on Zoom,2024-06-14,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,interview online,2024-06-26,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,practical assessment,2024-07-05,
Annnalise.ai,Clinical Research Statistician - Medical Imaging - SaMD - AU,NA,rejected application,2024-07-12,
AUSTRAC,EL1 Data Analytics and Research Professionals,325_10/24,submitted application,2024-11-04,
Australian Bureau of Statistics,2026 Census - Temporary Office Based Roles,NA,submitted application,2024-06-20,
Australian Bureau of Statistics,2026 Census - Temporary Office Based Roles,NA,placed in a merit pool,2024-08-16,
Australian Bureau of Statistics,Statistical Skills and Talent Asset Register,NA,submitted application,2024-12-06,
Australian Competition Consumer Commission,Senior data analyst,EA2024/127,submitted application,2024-05-29,
Australian Competition Consumer Commission,Senior data analyst,EA2024/127,rejected application,2024-06-13,
